Category,Cycle ID,Lots
Carrot,339,5
Carrot,336,3
Carrot,337,6
Carrot,329,1
Carrot,328,2
Carrot,330,8
Carrot,331,1
Carrot,335,5
Carrot,326,3
Carrot,332,2
Carrot,334,7
Condiment crop,403,4
Condiment crop,301,5
Condiment crop,401,1
Condiment crop,292,6
Condiment crop,490,2
Condiment crop,297,5
Condiment crop,293,4
Condiment crop,400,3
Condiment crop,399,3
Condiment crop,402,5
Condiment crop,492,5
Condiment crop,298,5
Condiment crop,491,6
Condiment crop,299,6
Condiment crop,295,1
Condiment crop,294,2
Condiment crop,493,1
Condiment crop,496,4
Cooked green,356,6
Cooked green,502,4
Cooked green,308,6
Cooked green,413,1
Cooked green,420,1
Cooked green,360,2
Cooked green,305,3
Cooked green,366,3
Cooked green,419,1
Cooked green,368,4
Cooked green,422,3
Cooked green,411,3
Cooked green,365,2
Cooked green,378,2
Cooked green,408,2
Cooked green,358,2
Cooked green,415,4
Cooked green,503,4
Cooked green,352,2
Fruit crop,390,5
Fruit crop,388,11
Fruit crop,425,4
Fruit crop,505,2
Fruit crop,454,2
Fruit crop,512,8
Fruit crop,435,6
Fruit crop,394,8
Fruit crop,436,4
Fruit crop,387,5
Fruit crop,504,2
Fruit crop,397,20
Fruit crop,453,2
Fruit crop,385,12
Fruit crop,389,5
Fruit crop,513,6
Fruit crop,382,16
Fruit crop,423,2
Potato,517,8
Potato,516,9
Potato,521,2
Potato,524,1
Potato,519,6
Potato,518,3
Potato,514,8
Potato,520,2
Potato,515,7
Raw green,452,2
Raw green,474,5
Raw green,468,3
Raw green,459,4
Raw green,547,1
Raw green,465,4
Raw green,551,2
Raw green,462,6
Raw green,350,2
Raw green,467,3
Raw green,440,2
Raw green,469,2
Raw green,560,2
Raw green,446,1
Raw green,447,1
Raw green,472,3
Raw green,550,1
Raw green,553,1
Raw green,349,2
Raw green,405,1
Raw green,546,2
Raw green,566,2
Raw green,348,2
Raw green,448,2
Root crop,543,4
Root crop,542,5
Root crop,346,1
Root crop,540,3
Root crop,527,2
Root crop,311,1
Root crop,478,2
Root crop,317,3
Root crop,312,3
Root crop,483,3
Root crop,344,2
Root crop,343,2
Root crop,476,2
Root crop,494,7
Root crop,485,1
Root crop,482,2
Root crop,495,2
Root crop,345,2
Tomato,568,5
Tomato,576,5
Tomato,575,5
Tomato,574,5
Tomato,573,5
Carrot,337,7
Carrot,334,6
Carrot,338,3
Carrot,327,1
Carrot,329,1
Carrot,328,2
Carrot,326,2
Carrot,330,8
Carrot,331,1
Carrot,333,3
Carrot,335,3
Carrot,339,3
Carrot,336,1
Condiment crop,493,2
Condiment crop,295,2
Condiment crop,399,6
Condiment crop,489,1
Condiment crop,490,3
Condiment crop,496,4
Condiment crop,491,10
Condiment crop,293,1
Condiment crop,492,4
Condiment crop,296,2
Condiment crop,298,6
Condiment crop,299,5
Condiment crop,400,3
Condiment crop,401,4
Condiment crop,292,3
Condiment crop,402,1
Condiment crop,294,2
Condiment crop,403,2
Cooked green,406,2
Cooked green,415,4
Cooked green,407,1
Cooked green,307,4
Cooked green,420,1
Cooked green,374,4
Cooked green,305,3
Cooked green,417,2
Cooked green,353,1
Cooked green,499,3
Cooked green,368,5
Cooked green,422,3
Cooked green,357,3
Cooked green,308,5
Cooked green,365,2
Cooked green,503,4
Cooked green,356,5
Cooked green,358,2
Cooked green,359,2
Fruit crop,389,9
